app_id,title,hours,achievements_unlocked,achievements_total
690790,DiRT Rally 2.0,0.0,0,71
403640,Dishonored 2,0.0,0,50
614570,Dishonored®: Death of the Outsider™,0.0,0,30
921590,DISSIDIA FINAL FANTASY NT Free Edition,0.0,0,56
698780,Doki Doki Literature Club,0.0,0,0
442070,Drawful 2,0.0,0,10
1076530,Drop,0.0,0,0
249050,Dungeon of the ENDLESS™,0.0,0,33
766370,Dying Light: Bad Blood,0.0,0,0
411300,ELEX,0.0,0,50
408930,ePic Character Generator,0.0,0,0
822540,Escape From Tethys,0.0,0,0
479130,ESEA,0.0,0,0
582890,Estranged: The Departure,0.0,0,14
3720,Evil Genius,0.0,0,0
38400,Fallout,0.0,0,0
38410,Fallout 2,0.0,0,0
588430,Fallout Shelter,0.0,0,35
38420,Fallout Tactics,0.0,0,0
296220,Farm Frenzy 4,0.0,0,34
391000,Farm Frenzy Collection,0.0,0,0
395930,Farm Frenzy: Heave Ho,0.0,0,0
361930,Farm Frenzy: Hurricane Season,0.0,0,0
1297660,Fragment's Moonrise,0.0,0,0
2535670,Frog's Adventure,0.0,0,12
906870,FurryFury,0.0,0,0
1078000,Gamecraft,0.0,0,0
251870,Go! Go! Nippon! ~My First Trip to Japan~,0.0,0,0
950670,Gothic Playable Teaser,0.0,0,25
12100,Grand Theft Auto III,0.0,0,0
3240220,Grand Theft Auto V 增强版,0.0,0,0
12110,Grand Theft Auto: Vice City,0.0,0,0
1384320,Grapple Tournament,0.0,0,0
877150,Gravity Wars,0.0,0,0
342480,Gunscape,0.0,0,42
220,Half-Life 2,0.0,0,69
2477290,Half-Life 2 RTX,0.0,0,0
320,Half-Life 2: Deathmatch,0.0,0,0
360,Half-Life Deathmatch: Source,0.0,0,0
797410,Headsnatchers,0.0,0,52
681330,Helium Rain,0.0,0,23
588210,HELLION,0.0,0,12
1175970,Hibiscus Red,0.0,0,0
310360,Higurashi When They Cry Hou - Ch.1 Onikakushi,0.0,0,14
6860,Hitman: Blood Money,0.0,0,0
203140,Hitman: Absolution,0.0,0,47
1659040,HITMAN World of Assassination,0.0,0,83
205930,Hitman: Sniper Challenge,0.0,0,0
274980,Influent,0.0,0,12
1997630,Ink: Tournament Paintball,0.0,0,0
579110,Interkosmos,0.0,0,17
557260,iREC,0.0,0,0
2071500,Islands of Insight,0.0,0,0
1095060,Jar Wars,0.0,0,0
3205090,Jumping Jack,0.0,0,0
544810,KARDS - 二战卡牌游戏,0.0,0,0
699240,Keyboard Killers,0.0,0,15
1020330,Khan VS Kahn,0.0,0,0
289690,Lara Croft and the Temple of Osiris,0.0,0,40
500,Left 4 Dead,0.0,0,73
550,Left 4 Dead 2,0.0,0,101
438920,Legends of Callasia,0.0,0,24
285160,LEGO® The Hobbit™,0.0,0,39
319630,Life is Strange™,0.0,0,60
424840,Little Nightmares,0.0,0,22
1008690,Lost Daughter,0.0,0,0
50130,Mafia II (Classic),0.0,0,67
360430,Mafia III: Definitive Edition,0.0,0,85
3208470,Magic Sword,0.0,0,0
648390,Marie's Room,0.0,0,7
1135570,Martian Law,0.0,0,0
311340,METAL GEAR SOLID V: GROUND ZEROES,0.0,0,16
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,0.0,0,42
356310,METAL SLUG DEFENSE,0.0,0,64
43110,Metro 2033,0.0,0,48
43160,Metro: Last Light Complete Edition,0.0,0,70
481870,Mini Thief,0.0,0,20
565110,Mobile Astro,0.0,0,4
943700,Monster Girl Island: Prologue,0.0,0,0
287920,Mortal Online,0.0,0,0
675010,MudRunner,0.0,0,62
613900,Museum of Other Realities,0.0,0,0
1582890,My Catgirl Maid Thinks She Runs the Place,0.0,0,0
264380,Narcissu 1st & 2nd,0.0,0,5
878620,Neotrie VR,0.0,0,0
628950,Nephise Begins,0.0,0,5
676760,Noise,0.0,0,0
414160,Nubarron: The adventure of an unlucky gnome,0.0,0,0
781440,"OH MY GOD, LOOK AT THIS KNIGHT",0.0,0,8
1060320,One Drop Bot,0.0,0,0
261570,Ori and the Blind Forest,0.0,0,50
1057090,Ori and the Will of the Wisps,0.0,0,37
441380,PAC-MAN™ CHAMPIONSHIP EDITION 2,0.0,0,18
1144030,Pesterquest,0.0,0,0
368180,Polyball,0.0,0,33
1241100,POLYGON,0.0,0,1
314000,Pool Nation FX,0.0,0,38
232770,POSTAL,0.0,0,27
702150,Project Mercury,0.0,0,3
351510,Quiplash,0.0,0,10
1076600,Red Gate,0.0,0,0
680360,Regions Of Ruin,0.0,0,20
254700,Resident Evil 4 (2005),0.0,0,12
21690,Resident Evil 5,0.0,0,70
221040,Resident Evil 6,0.0,0,70
418370,Resident Evil 7 Biohazard,0.0,0,0
287290,Resident Evil Revelations 2,0.0,0,43
1259980,RIDE 4,0.0,0,97
397720,Romance of the Three Kingdoms Maker,0.0,0,0
235900,RPG Maker XP,0.0,0,0
978270,Sam & Dan: Floaty Flatmates,0.0,0,0
1183940,Scavengers拾荒者,0.0,0,0
1782380,SCP: Containment Breach Multiplayer,0.0,0,0
1024890,Sector's Edge,0.0,0,0
1076280,Showdown Bandit,0.0,0,8
364210,Sierra Ops,0.0,0,31
2253720,Sim Companies,0.0,0,16
814200,Simple Story - Alex,0.0,0,8
308600,Skillshot City,0.0,0,40
312660,Sniper Elite 4,0.0,0,85
368070,Sniper Ghost Warrior 3,0.0,0,48
1326470,Sons Of The Forest,0.0,0,0
393380,Squad,0.0,0,0
774941,Squad - 公开测试服,0.0,0,0
619700,Steel Rats,0.0,0,46
790750,Stryker,0.0,0,31
1812560,SUPER CRAZY RHYTHM CASTLE,0.0,0,27
464920,Surviving Mars,0.0,0,80
46500,Syberia,0.0,0,0
46510,Syberia 2,0.0,0,0
992310,Tails Noir: Prologue,0.0,0,0
2587450,Tank Team,0.0,0,0
1180660,Tell Me Why,0.0,0,30
531270,The Art of Fight,0.0,0,35
845070,The Awesome Adventures of Captain Spirit,0.0,0,0
287630,The Council,0.0,0,42
420740,The Deed,0.0,0,17
332650,The Exiled,0.0,0,0
446990,The Huntsman: Winter's Curse,0.0,0,10
640590,The LEGO® NINJAGO® Movie Video Game,0.0,0,50
437160,The Lion's Song,0.0,0,86
992680,The Lovebirds,0.0,0,0
473910,The Nest,0.0,0,4
1343970,The Running Man,0.0,0,0
566190,The Search,0.0,0,9
406970,The Uncertain: Last Quiet Day,0.0,0,32
1449690,The Walking Dead: The Telltale Definitive Series,0.0,0,23
600430,Ticket to Ride: First Journey,0.0,0,9
673450,Time Lock VR 1,0.0,0,0
475150,Titan Quest Anniversary Edition,0.0,0,115
297130,Titan Souls,0.0,0,27
